cell,prefill_tps_median,decode_tps_median,ttft_s_median,ok_rounds
DE_coding_C1,1857.44,102.1,0.317,"[1, 1, 1]"
DE_coding_C12,346.12,32.45,1.695,"[12, 12, 12]"
DE_coding_C2,1420.8,76.14,0.485,"[2, 2, 2]"
DE_coding_C4,581.33,50.3,1.018,"[4, 4, 4]"
DE_coding_C6,425.1,44.03,1.396,"[6, 6, 6]"
DE_coding_C8,351.8,38.38,1.713,"[8, 8, 8]"
DE_json_C1,1861.67,106.47,0.32,"[1, 1, 1]"
DE_json_C12,333.11,34.69,1.722,"[12, 12, 12]"
DE_json_C2,1344.69,79.53,0.512,"[2, 2, 2]"
DE_json_C4,574.24,54.57,1.037,"[4, 4, 4]"
DE_json_C6,409.28,46.25,1.473,"[6, 6, 6]"
DE_json_C8,328.49,41.19,1.823,"[8, 8, 8]"
DE_prose_C1,1841.55,48.75,0.309,"[1, 1, 1]"
DE_prose_C12,340.51,16.8,1.657,"[12, 12, 12]"
DE_prose_C2,1355.84,37.58,0.49,"[2, 2, 2]"
DE_prose_C4,568.88,26.15,1.002,"[4, 4, 4]"
DE_prose_C6,409.35,22.0,1.401,"[6, 6, 6]"
DE_prose_C8,322.44,19.52,1.744,"[8, 8, 8]"
PR131072_C1,2361.69,,48.806,"[1, 1, 1]"
PR131072_C12,360.69,,324.7,"[12, 12, 12]"
PR131072_C2,1276.1,,90.311,"[2, 2, 2]"
PR131072_C4,919.64,,138.118,"[4, 4, 4]"
PR131072_C6,615.38,,187.248,"[6, 6, 6]"
PR131072_C8,509.46,,233.661,"[8, 8, 8]"
PR2048_C1,2747.8,,0.65,"[1, 1, 1]"
PR2048_C12,398.39,,4.508,"[12, 12, 12]"
PR2048_C2,2095.95,,0.971,"[2, 2, 2]"
PR2048_C4,934.9,,1.933,"[4, 4, 4]"
PR2048_C6,744.81,,2.582,"[6, 6, 6]"
PR2048_C8,562.46,,3.204,"[8, 8, 8]"
PR32768_C1,2649.82,,10.885,"[1, 1, 1]"
PR32768_C12,416.79,,70.007,"[12, 12, 12]"
PR32768_C2,1483.52,,19.413,"[2, 2, 2]"
PR32768_C4,1028.73,,30.178,"[4, 4, 4]"
PR32768_C6,718.97,,40.083,"[6, 6, 6]"
PR32768_C8,592.7,,49.913,"[8, 8, 8]"
PR512_C1,1812.35,,0.25,"[1, 1, 1]"
PR512_C12,295.36,,1.517,"[12, 12, 12]"
PR512_C2,1331.76,,0.375,"[2, 2, 2]"
PR512_C4,606.62,,0.764,"[4, 4, 4]"
PR512_C6,409.6,,1.12,"[6, 6, 6]"
PR512_C8,350.38,,1.31,"[8, 8, 8]"
PR8192_C1,2721.27,,2.648,"[1, 1, 1]"
PR8192_C12,417.67,,17.342,"[12, 12, 12]"
PR8192_C2,1653.72,,4.409,"[2, 2, 2]"
PR8192_C4,937.16,,7.782,"[4, 4, 4]"
PR8192_C6,681.32,,10.695,"[6, 6, 6]"
PR8192_C8,568.31,,12.65,"[8, 8, 8]"
